00 BRK
01 ORA
02 *KIL
03 *SLO
04 *NOP
05 ORA
06 ASL
07 *SLO
08 PHP
09 ORA
0A ASL
0B *ANC
0C *NOP
0D ORA
0E ASL
0F *SLO
10 BPL
11 ORA
12 *KIL
13 *SLO
14 *NOP
15 ORA
16 ASL
17 *SLO
18 CLC
19 ORA
1A *NOP
1B *SLO
1C *NOP
1D ORA
1E ASL
1F *SLO
20 JSR
21 AND
22 *KIL
23 *RLA
24 BIT
25 AND
26 ROL
27 *RLA
28 PLP
29 AND
2A ROL
2B *ANC
2C BIT
2D AND
2E ROL
2F *RLA
30 BMI
31 AND
32 *KIL
33 *RLA
34 *NOP
35 AND
36 ROL
37 *RLA
38 SEC
39 AND
3A *NOP
3B *RLA
3C *NOP
3D AND
3E ROL
3F *RLA
40 RTI
41 EOR
42 *KIL
43 *SRE
44 *NOP
45 EOR
46 LSR
47 *SRE
48 PHA
49 EOR
4A LSR
4B *ALR
4C JMP
4D EOR
4E LSR
4F *SRE
50 BVC
51 EOR
52 *KIL
53 *SRE
54 *NOP
55 EOR
56 LSR
57 *SRE
58 CLI
59 EOR
5A *NOP
5B *SRE
5C *NOP
5D EOR
5E LSR
5F *SRE
60 RTS
61 ADC
62 *KIL
63 *RRA
64 *NOP
65 ADC
66 ROR
67 *RRA
68 PLA
69 ADC
6A ROR
6B *ARR
6C JMP
6D ADC
6E ROR
6F *RRA
70 BVS
71 ADC
72 *KIL
73 *RRA
74 *NOP
75 ADC
76 ROR
77 *RRA
78 SEI
79 ADC
7A *NOP
7B *RRA
7C *NOP
7D ADC
7E ROR
7F *RRA
80 *NOP
81 STA
82 *NOP
83 *SAX
84 STY
85 STA
86 STX
87 *SAX
88 DEY
89 *NOP
8A TXA
8B *XAA
8C STY
8D STA
8E STX
8F *SAX
90 BCC
91 STA
92 *KIL
93 *AHX
94 STY
95 STA
96 STX
97 *SAX
98 TYA
99 STA
9A TXS
9B *TAS
9C *SHY
9D STA
9E *SHX
9F *AHX
A0 LDY
A1 LDA
A2 LDX
A3 *LAX
A4 LDY
A5 LDA
A6 LDX
A7 *LAX
A8 TAY
A9 LDA
AA TAX
AB *LAX
AC LDY
AD LDA
AE LDX
AF *LAX
B0 BCS
B1 LDA
B2 *KIL
B3 *LAX
B4 LDY
B5 LDA
B6 LDX
B7 *LAX
B8 CLV
B9 LDA
BA TSX
BB *LAS
BC LDY
BD LDA
BE LDX
BF *LAX
C0 CPY
C1 CMP
C2 *NOP
C3 *DCP
C4 CPY
C5 CMP
C6 DEC
C7 *DCP
C8 INY
C9 CMP
CA DEX
CB *AXS
CC CPY
CD CMP
CE DEC
CF *DCP
D0 BNE
D1 CMP
D2 *KIL
D3 *DCP
D4 *NOP
D5 CMP
D6 DEC
D7 *DCP
D8 CLD
D9 CMP
DA *NOP
DB *DCP
DC *NOP
DD CMP
DE DEC
DF *DCP
E0 CPX
E1 SBC
E2 *NOP
E3 *ISC
E4 CPX
E5 SBC
E6 INC
E7 *ISC
E8 INX
E9 SBC
EA NOP
EB *SBC
EC CPX
ED SBC
EE INC
EF *ISC
F0 BEQ
F1 SBC
F2 *KIL
F3 *ISC
F4 *NOP
F5 SBC
F6 INC
F7 *ISC
F8 SED
F9 SBC
FA *NOP
FB *ISC
FC *NOP
FD SBC
FE INC
FF *ISC
