#
# states
00  T0_FETCH
01  T1_DECODE
02  T2_ZPG        
03  T2_ZPGXY      
04  T3_ZPGXY      
05  T2_ABS        
06  T3_ABS        
07  T2_ABSXY      
08  T3_ABSXY      
09  T4_ABSXY      
0b  T2_XIND       
0c  T3_XIND       
0d  T4_XIND       
0e  T5_XIND       
0f  T2_INDY       
10  T3_INDY       
11  T4_INDY       
12  T5_INDY       
13  T_RMW_EXEC    
14  T_RMW_STORE   
15  T_BOOT        
16  T_JAM         
17  T2_JMP         
18  T3_JMP        
19  T2_BRANCH     
1a  T3_BRANCH     
1b  T4_BRANCH    
1c  T2_PUSH
1d  T2_POP
1e  T3_POP
1f  T2_BRK
20  T3_BRK
21  T4_BRK
22  T5_BRK
23  T2_RTI
24  T3_RTI
25  T4_RTI
26  T5_RTI
27  T2_RTS
28  T3_RTS
29  T4_RTS
2a  T5_RTS
2b  T2_JSR
2c  T3_JSR
2d  T4_JSR
2e  T5_JSR
2f  T2_JMPI
30  T3_JMPI
31  T4_JMPI
32  T5_JMPI
